time, Quad.Est.E.Pos, Quad.Est.S.Z
4.214877,0.125575,0.299305
4.219877,0.126057,0.299412
4.224876,0.126721,0.299572
4.229876,0.127190,0.299680
4.234876,0.127827,0.299842
4.239875,0.128251,0.299950
4.244875,0.128896,0.300114
4.249875,0.129320,0.300224
4.254874,0.129973,0.300389
4.259874,0.130346,0.300500
4.264874,0.130937,0.300668
4.269873,0.131369,0.300780
4.274873,0.131960,0.300949
4.279872,0.132358,0.301062
4.284872,0.132946,0.301233
4.289872,0.133578,0.301347
4.294871,0.134199,0.301520
4.299871,0.134466,0.301636
4.304871,0.124820,0.299043
4.309870,0.125117,0.299148
4.314870,0.125532,0.299307
4.319870,0.125703,0.299413
4.324869,0.126149,0.299573
4.329869,0.126490,0.299681
4.334868,0.126935,0.299843
4.339868,0.127235,0.299951
4.344868,0.127702,0.300115
4.349867,0.128059,0.300225
4.354867,0.128564,0.300390
4.359867,0.128954,0.300501
4.364866,0.129500,0.300669
4.369866,0.129780,0.300781
4.374866,0.130310,0.300950
4.379865,0.130541,0.301063
4.384865,0.131031,0.301234
4.389864,0.131373,0.301348
4.394864,0.131903,0.301521
4.399864,0.132384,0.301637
4.404863,0.101500,0.299044
4.409863,0.101926,0.299149
4.414863,0.102272,0.299308
4.419862,0.102438,0.299414
4.424862,0.102801,0.299574
4.429862,0.103061,0.299682
4.434861,0.103402,0.299844
4.439861,0.103630,0.299953
4.444860,0.103987,0.300116
4.449860,0.104328,0.300226
4.454860,0.104769,0.300391
4.459859,0.104860,0.300502
4.464859,0.105250,0.300670
4.469859,0.105561,0.300782
4.474858,0.105987,0.300951
4.479858,0.106420,0.301064
4.484858,0.106878,0.301235
4.489857,0.107495,0.301349
4.494857,0.108034,0.301522
4.499856,0.108553,0.301637
4.504856,0.082973,0.299045
4.509856,0.082832,0.299150
4.514855,0.082487,0.299309
4.519855,0.082324,0.299415
4.524855,0.081971,0.299575
4.529854,0.081743,0.299683
4.534854,0.081400,0.299845
4.539854,0.081172,0.299953
4.544853,0.080819,0.300117
4.549853,0.080542,0.300227
4.554852,0.080179,0.300392
4.559852,0.079933,0.300503
4.564852,0.079559,0.300671
4.569851,0.079169,0.300783
4.574851,0.078764,0.300952
4.579851,0.078495,0.301065
4.584850,0.078103,0.301236
4.589850,0.077805,0.301350
4.594850,0.077449,0.301523
4.599849,0.077274,0.301638
4.604849,0.073007,0.299046
4.609848,0.073197,0.299151
4.614848,0.073609,0.299310
4.619848,0.073922,0.299416
